robot_id,branching,branching_modules_count,limbs,extremities,length_of_limbs,extensiveness,coverage,joints,hinge_count,active_hinges_count,brick_count,touch_sensor_count,brick_sensor_count,proportion,width,height,absolute_size,sensors,symmetry,avg_period,dev_period,avg_phase_offset,dev_phase_offset,avg_amplitude,dev_amplitude,avg_intra_dev_params,avg_inter_dev_params,sensors_reach,recurrence,synaptic_reception
58,0,0,0.5,1,1.0,1,1.0,1.0,2,1,0,0,0,0.3333333333333333,3,1,3,0.0,0,0.4489959785700979,0.5577968548374658,0.6188501925250376,0.929679366181668,0.5369848163096334,0.8402404996350272,0.7650837075311556,0.8162792414035425,0,0,0.0
59,0,0,0.3333333333333333,1,1.0,2,1.0,1.0,3,2,0,0,0,0.25,4,1,4,0.0,0,0.12091935225343878,0.6928388924850698,0.7678108853759873,0.8130837863481037,0.37945444105782755,0.7620514919623943,0.9345385508722452,0.7593622438402545,0,0,0.0
60,0,0,0.1,1,1.0,13,0.38461538461538464,0.6153846153846154,9,8,5,0,0,0.23076923076923078,13,3,15,0.0,0,0.577520188495781,0.9401597469224192,0.29867083043023435,0.9177895932396261,0.5355159662674315,0.8271372207178513,0.9179867708983683,0.9041470418493914,0,0,0.0
61,0,0,0.3333333333333333,2,0.7142857142857143,5,0.45,0.5714285714285714,5,4,3,0,0,0.8,5,4,9,0.0,0.5714285714285714,0.5775998783378692,0.8577601765714391,0.5194013082481959,0.9432044683655489,0.8588552294152464,0.9126071821853574,0.8514372234094442,0.9103168068708648,0,0,0.0
62,0,0,1.0,1,0,0,1.0,0,0,0,1,0,0,0.5,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0.16666666666666666,2,0.875,14,0.375,0.625,10,10,7,3,0,0.3333333333333333,4,12,18,0.16666666666666666,0.25,0.2813227749454707,0.8374814057749966,0.8112689621570996,0.8061233041023843,0.691510743040624,0.8772598494034416,0.9017443687079901,0.8425225606526254,0.1,0.1,0.0
64,0,0,0.3333333333333333,1,1.0,2,0.6666666666666666,0.5,1,1,2,0,0,0.6666666666666666,2,3,4,0.0,0,0.9365798787181815,0.5,0.24446124799406171,0.5,0.638774213107556,0.5,0.9445225977408864,0.5,0,0,0.0
65,0,0,0.14285714285714285,1,1.0,8,1.0,1.0,9,8,0,1,0,0.1,10,1,10,0.3333333333333333,0,0.688992586646952,0.9334639762600572,0.7157742679977559,0.9059943249283565,0.3007839122155759,0.9588035470446346,0.9469547539443027,0.9361191775957,1.0,0.3333333333333333,0.0
66,0,0,0,0,0,0,1.0,0,0,0,0,1,0,1.0,1,1,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,1.0,1,0,0,1.0,0,1,0,0,0,0,0.5,1,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0.3333333333333333,1,1.0,2,1.0,1.0,3,2,0,0,0,0.25,4,1,4,0.0,0,0.5787133333124886,0.8447509784976747,0.7487154885587519,0.5447768665190281,0.3683496561760623,0.9262782844886749,0.825742428449848,0.8127774203292145,0,0,0.0
69,0,0,0.14285714285714285,2,0.8947368421052632,17,0.3181818181818182,0.6842105263157895,14,13,6,1,0,0.5454545454545454,6,11,21,0.06666666666666667,0,0.5357945101573549,0.9150731866938094,0.2167037847396593,0.953114452271066,0.6292684358034797,0.9405720764610073,0.9452321754094561,0.9380216514176446,1.0,0.42857142857142855,0.0
70,0,0,1.0,2,0.0,0,0.75,0,1,0,1,1,0,1.0,2,2,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0.38461538461538464,5,0.5294117647058824,9,0.3877551020408163,0.47058823529411764,11,8,7,3,0,1.0,7,7,19,0.2,0.5882352941176471,0.4361207840230259,0.9085148353735045,0.6270981396181807,0.8866972948652438,0.31691244460073664,0.9370342600565764,0.9270453044536445,0.9130190826369897,0.2727272727272727,0.2727272727272727,0.0
72,0,0,0.125,1,1.0,9,1.0,0.7777777777777778,8,7,2,0,0,0.09090909090909091,1,11,11,0.0,0,0.8036789736873311,0.7824465339029668,0.45827653233230786,0.9367359223109567,0.5905253605015566,0.7724122677478409,0.8307970558970765,0.8497126501081328,0,0,0.0
73,0,0,0,0,0,0,1.0,0,0,0,0,2,0,1.0,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0.14285714285714285,1,1.0,8,1.0,1.0,9,8,0,0,0,0.1,10,1,10,0.0,0,0.17085179310309673,0.9397408473675468,0.26375675488648,0.6390072257048188,0.5812294070785741,0.8718317989535738,0.8464928979955665,0.8513320372853119,0,0,0.0
75,0,0,0.4,4,0.5384615384615384,7,0.46875,0.3076923076923077,8,4,6,3,0,0.5,4,8,15,0.25,0.3333333333333333,0.6622451700451193,0.824777889063521,0.4414698878691336,0.892963963230849,0.5622494599194101,0.9096331695342029,0.8178003305032853,0.8800814302958185,0.125,0.125,0.0
76,0,0,0.42857142857142855,3,0.5,4,0.47619047619047616,0.5,6,4,3,0,0,0.42857142857142855,7,3,10,0.0,0,0.6435346967823367,0.9641942590658034,0.5415400471616356,0.9246709339293665,0.46646189646333625,0.9641170712519144,0.9403851680978109,0.9539361894117978,0,0,0.0
77,0,0,1.0,2,0.0,0,0.75,0,1,0,1,0,0,1.0,2,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0.6666666666666666,2,0.5,1,1.0,0.5,2,1,1,0,0,0.25,4,1,4,0.0,0.6666666666666666,0.6216681759579286,0.7389908494165721,0.6982063578406491,0.7543449451911407,0.6853823915109807,0.6133978222048335,0.6087301332580295,0.7057344264796341,0,0,0.0
79,0,0,0.1875,3,0.8571428571428571,18,0.17692307692307693,0.7619047619047619,19,16,3,4,0,0.7692307692307693,13,10,23,0.5714285714285714,0.1111111111111111,0.5010141690297596,0.9134486607607434,0.4202573311364638,0.8852886912076513,0.8379798724395494,0.8776143328006704,0.8470879977898488,0.8931509194114379,0.13157894736842105,0.2631578947368421,0.0
80,0,0,0.5,3,0.3333333333333333,2,0.5,0,0,0,7,0,0,1.0,4,4,8,0.0,0.4,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0.6666666666666666,2,0.5,1,0.6666666666666666,0,1,0,2,3,0,0.6666666666666666,3,2,4,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0.375,3,0.7777777777777778,7,0.55,0.7777777777777778,10,7,0,1,0,0.2,2,10,11,1.0,0.2222222222222222,0.3511493112770197,0.9503479403648006,0.27351595849983823,0.8068179537617522,0.6319967073000281,0.911020488231439,0.9300723381900211,0.9034189812586313,1.0,0.1,0.0
83,0,0,0.10526315789473684,2,0.9230769230769231,24,0.2857142857142857,0.5,14,13,13,6,0,0.5,7,14,28,0.20689655172413793,0.2608695652173913,0.6721233929284084,0.7895805927256535,0.8637146032913515,0.9576213324133002,0.9439571050091405,0.7948893008501308,0.8825524708431389,0.8734286041124676,0.07142857142857142,0.6428571428571429,0.0
84,0,0,0.25,1,1.0,3,0.625,0.6666666666666666,2,2,2,2,0,0.5,4,2,5,0.25,0,0.3797259897246317,0.5453820362791749,0.6491642572694699,0.9477854529938747,0.30290579365103004,0.6182430072394948,0.8296588223695587,0.7663171306966978,0.75,0.5,0.0
85,0,0,0.3333333333333333,2,0.8571428571428571,6,0.42857142857142855,0.8571428571428571,8,6,0,0,0,0.42857142857142855,7,3,9,0.0,0,0.7712180239028981,0.9341776968400375,0.43295592331331045,0.8746187028093607,0.8222258798435185,0.9790702838121839,0.9387830293037863,0.9434022388439363,0,0,0.0
86,0,0,1.0,1,0,0,1.0,0,1,0,0,0,0,0.5,1,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0.1111111111111111,2,0.96,24,0.16666666666666666,0.92,23,23,3,1,0,0.5,9,18,27,0.1,0,0.491488481259554,0.8795255285810982,0.6897951781136415,0.9102917223938642,0.46524781695333495,0.932273570652156,0.782331249656989,0.909627804936559,1.0,0.08695652173913043,0.0
88,0,0,0.3333333333333333,1,1.0,2,0.6666666666666666,0.5,2,1,1,1,0,0.6666666666666666,2,3,4,0.2,0,0.9395788223154493,0.6466193021978855,0.7616668999771223,0.7251606641497969,0.6505080546500287,0.9567346227148853,0.8027683590193201,0.8259028802938604,1.0,0.5,0.0
